  CHBI  [ui16]  0 (bytes 00 00)
  CHBV  [ui16]  13050 (bytes 32 fa)
  CHGC  [ui16]  98 (bytes 00 62)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  0 (bytes 00 00)
  CHGV  [ui16]  13040 (bytes 32 f0)
  CHII  [ui16]  3456 (bytes 0d 80)
  CHIM  [flag]  (bytes 00)
  CHLC  [ui8 ]  1 (bytes 01)
  CHUD  [flt ]  (bytes cd cc 4c 3d)
  CHUE  [flag]  (bytes 00)
  CHUV  [ui16]  0 (bytes 00 00)
  CLKT  [ui32]  49531 (bytes 00 00 c1 7b)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  0 (bytes 00 00)
  CPIC  [spc3]  (bytes 01 40)
  CPIR  [spc3]  (bytes 01 50)
  CPIX  [spc3]  (bytes 00 00)
  CPL1  [sp78]  0.000 (bytes 00 00)
  CPL2  [sp78]  0.000 (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPPL  [sp78]  28.000 (bytes 1c 00)
  CPTX  [sp78]  105.000 (bytes 69 00)
  CRCA  [ui32]  320399097 (bytes 13 18 e6 f9)
  CRCB  [ui32]  387221454 (bytes 17 14 87 ce)
  CRCC  [ui32]  1727846475 (bytes 66 fc d8 4b)
  CRCF  [ui32]  2599401669 (bytes 9a ef b8 c5)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  969910792 (bytes 39 cf aa 08)
  CRCU  [ui32]  868194083 (bytes 33 bf 97 23)
  CRCa  [ui32]  320399097 (bytes 13 18 e6 f9)
  CRCb  [ui32]  387221454 (bytes 17 14 87 ce)
  CRCc  [ui32]  1727846475 (bytes 66 fc d8 4b)
  CRCr  [ui32]  969910792 (bytes 39 cf aa 08)
  CRCu  [ui32]  868194083 (bytes 33 bf 97 23)
  DBGP  [ui8 ]  3 (bytes 03)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  402981121 (bytes 18 05 01 01)
  DID1  [ui32]  282896436 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 03 03)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 02 04 01 03 03 03 00 0a 01 00 00 0b 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  2 (bytes 02)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0W  [ui8 ]  0 (bytes 00)
