ImageMagick7-7.1.1.26_3        Image processing tools
Imath-3.1.11                   C++/Python lib of 2D/3D vector, matrix, math ops for computer graphics
abook-0.6.1_2                  Addressbook program with mutt mail client support
abseil-20230125.3              Abseil Common Libraries (C++)
adwaita-icon-theme-42.0        GNOME Symbolic Icons
adwaita-qt5-1.4.2              Adwaita theme for Qt applications
adwaita-qt6-1.4.2              Adwaita theme for Qt applications
alacritty-0.13.2               GPU-accelerated terminal emulator
aom-3.8.2                      AV1 reference encoder/decoder
apg-1.2.0_2,1                  Automated Password Generator written in Go
appres-1.0.5_1                 Program to list application's resources
archlinux-keyring-20231222     Arch Linux PGP keyring
archlinux-pacman-6.0.2_1       Package manager from Arch Linux
argp-standalone-1.5.0          Standalone version of arguments parsing functions from GLIBC
aria2-1.37.0                   Yet another download tool
aspell-0.60.8.1_1,1            Spelling checker with better suggestion logic than ispell
at-spi2-core-2.50.2            Assistive Technology Service Provider Interface
atkmm-2.28.0_1                 C++ wrapper for ATK API library
avahi-app-0.8_2                Service discovery on a local network
ayatana-ido-0.10.1_1           Ayatana Indicator Display Objects
bash-5.2.26_1                  GNU Project's Bourne Again SHell
basu-0.2.1                     sd-bus library, extracted from systemd
bat-0.23.0_12                  Clone of cat with syntax highlighting
beadm-1.3.5_1                  Solaris-like utility to manage Boot Environments on ZFS
binutils-2.40_5,1              GNU binary tools
bitmap-1.1.1                   Bitmap editor and converter utilities for X
boehm-gc-8.2.6                 Garbage collection and memory leak detection for C and C++
boehm-gc-threaded-8.2.6        Garbage collection and memory leak detection for C and C++
boost-libs-1.84.0              Free portable C++ libraries (without Boost.Python)
brotli-1.1.0,1                 Generic-purpose lossless compression algorithm
ca_root_nss-3.93_2             Root certificate bundle from the Mozilla Project
cairo-1.17.4_2,3               Vector graphics library with cross-device output support
cairomm-1.12.2_6               C++ interface to cairo
cantarell-fonts-0.301          Cantarell, a Humanist sans-serif font family
chromium-124.0.6367.207        Google web browser based on WebKit
cmrt-1.0.6_2                   Legacy C for Metal Runtime
cmrtlib-20.1.1                 C for Metal Runtime
colord-1.4.7                   Manage color profiles to accurately color input/output devices
consolekit2-1.2.6_3            Framework for defining and tracking users
coreutils-9.4_1                Free Software Foundation core utilities
cups-2.4.8                     Common UNIX Printing System
curl-8.7.1                     Command line tool and library for transferring data with URLs
cyrus-sasl-2.1.28_4            RFC 2222 SASL (Simple Authentication and Security Layer)
dav1d-1.4.1                    Small and fast AV1 decoder
dbus-1.14.10_5,1               Message bus system for inter-application communication
dbus-glib-0.112_1              GLib bindings for the D-BUS messaging system
dconf-0.40.0_4                 Configuration database system for GNOME
